hour, windN, windE, gust, visibility, cloudCover, temp, dewpoint, baro, flightRate, mr00, mr15, mr30, mr60
12.866666666666667, 11.570176974357707, 13.788799976141606, 26.0, 10.0, 1, 14.4, 1.1, 30.03, 0.9666666666666667, 0.60344827586206895, 0.17241379310344829, 0.10344827586206896, 0.068965517241379309
13.866666666666667, 7.8664632964903864, 21.61293027807589, 29.0, 10.0, 1, 13.9, -3.3, 30.02, 0.8166666666666667, 0.38775510204081631, 0.18367346938775511, 0.081632653061224483, 0.020408163265306121
14.866666666666667, 13.498539803417325, 16.08693330549854, 35.0, 10.0, 1, 12.8, -5.6, 30.02, 1.3166666666666667, 0.44303797468354428, 0.088607594936708861, 0.063291139240506333, 0.025316455696202531
15.866666666666667, 16.852977748617512, 14.141327413103872, 34.0, 10.0, 1, 12.8, -6.7, 30.04, 1.1833333333333333, 0.57746478873239437, 0.26760563380281688, 0.15492957746478872, 0.056338028169014086
16.866666666666667, 10.927389364671168, 13.022755533022629, 0, 10.0, 1, 11.7, -7.2, 30.06, 0.8166666666666667, 0.48979591836734693, 0.24489795918367346, 0.12244897959183673, 0.040816326530612242
17.866666666666667, 7.000000000000002, 12.12435565298214, 21.0, 10.0, 1, 10.0, -11.1, 30.07, 0.65, 0.51282051282051277, 0.17948717948717949, 0.076923076923076927, 0.02564102564102564
18.866666666666667, 7.000000000000002, 12.12435565298214, 0, 10.0, 1, 8.9, -11.1, 30.09, 1.4333333333333333, 0.40697674418604651, 0.16279069767441862, 0.093023255813953487, 0.023255813953488372
19.866666666666667, 3.762221576582359, 10.336618828644992, 0, 10.0, 0, 8.3, -10.6, 30.11, 0.65, 0.69230769230769229, 0.25641025641025639, 0.076923076923076927, 0.05128205128205128
20.866666666666667, 3.4202014332566897, 9.396926207859083, 0, 10.0, 0, 7.8, -10.0, 30.12, 1.2333333333333334, 0.33783783783783783, 0.14864864864864866, 0.067567567567567571, 0.040540540540540543
21.866666666666667, 7.070663706551931, 8.42648887430876, 22.0, 10.0, 0, 7.8, -9.4, 30.14, 1.15, 0.59420289855072461, 0.15942028985507245, 0.072463768115942032, 0.043478260869565216
22.866666666666667, 12.212964584044245, 14.554844419260585, 28.0, 10.0, 0, 6.7, -8.3, 30.16, 0.2833333333333333, 0.35294117647058826, 0.0, 0.0, 0.0
4.866666666666667, 5.500000000000001, 9.526279441628825, 0, 10.0, 1, 3.9, -6.7, 30.18, 0.06666666666666667, 0.5, 0.0, 0.0, 0.0
5.866666666666667, 9.192533317427733, 7.713451316238475, 23.0, 10.0, 1, 3.3, -7.2, 30.19, 0.2, 0.16666666666666666, 0.0, 0.0, 0.0
