gen, best, avg, stdev
42, -0.15699518294524695, -0.30128055157337863, 0.22447366400950355
43, -0.15699518294524695, -0.2955695207034026, 0.22026611916117073
44, -0.15699518294524695, -0.28986016547140425, 0.21314297350848438
45, -0.15699518294524695, -0.29621373448741695, 0.21717965537791703
46, -0.15699518294524695, -0.28850245353722287, 0.2095323209928721
47, -0.15699518294524695, -0.29298636406105066, 0.21468032262797077
48, -0.15699518294524695, -0.2832065623804352, 0.2033324204132062
49, -0.15699518294524695, -0.2862034944399456, 0.20709618965505439
50, -0.15699518294524695, -0.2866274534032393, 0.20942003182498967
51, -0.15699518294524695, -0.29193753837699504, 0.21702257217074525
52, -0.15699518294524695, -0.2934796751428601, 0.2170404970663686
53, -0.15699518294524695, -0.29397347384660283, 0.21727067966643396
54, -0.15699518294524695, -0.283659326612679, 0.20671873281057504
55, -0.15699518294524695, -0.28676144024765043, 0.20922607931275913
56, -0.15699518294524695, -0.2895865913335399, 0.21429393415210143
57, -0.15699518294524695, -0.29515702093773194, 0.21957715125608823
58, -0.15699518294524695, -0.29418277879993654, 0.21889622376372828
59, -0.15699518294524695, -0.2962039945482692, 0.22189435495812043
60, -0.15699518294524695, -0.2865123352419232, 0.21010044290306348
61, -0.15699518294524695, -0.2973044404129739, 0.2215649320070669
62, -0.15699518294524695, -0.2927710801342149, 0.2153233218110025
63, -0.15699518294524695, -0.28532566717743196, 0.2100161249579179
64, -0.15699518294524695, -0.28711929288427585, 0.21146085056942213
65, -0.15699518294524695, -0.298492515577857, 0.22442488657595064
66, -0.15699518294524695, -0.29820564891370865, 0.2226003316551296
67, -0.15699518294524695, -0.2920790968637911, 0.21699673808585762
68, -0.15699518294524695, -0.2959285890836248, 0.22242532142510552
69, -0.15699518294524695, -0.2974192681065312, 0.22316505566554462
70, -0.15699518294524695, -0.2858626263146189, 0.21260385775688537
71, -0.15699518294524695, -0.28796659956714965, 0.2130257956725819
72, -0.15699518294524695, -0.2908601139140613, 0.21705082321684838
73, -0.15699518294524695, -0.2874217986074589, 0.2140418614795682
74, -0.15699518294524695, -0.2919598602730733, 0.21819356291431236
75, -0.15699518294524695, -0.29173743078643777, 0.21613038224035414
76, -0.15699518294524695, -0.29203454672192464, 0.21707058630391976
77, -0.15699518294524695, -0.29181148441249255, 0.2172439619356002
78, -0.15699518294524695, -0.2862334276520101, 0.2103602597491387
79, -0.15699518294524695, -0.29970492285166256, 0.22691674451038185
80, -0.15699518294524695, -0.2889306303292652, 0.21382477779022543
81, -0.15699518294524695, -0.28663628019555076, 0.2126973917668676
